hour,mean_price,median_price,max_price,min_price,std_price
0,97.71574746362889,86.80016,299.99,-7.66571,35.2534261049112
1,90.78370711348684,83.78341,290.73728,-9.99993,32.06008441352875
2,87.06898224780703,80.02,276.73229,-23.0,31.439510717607828
3,87.32288654057018,80.01,275.33248,-23.0,32.953000094748994
4,92.61002439144738,83.285495,299.98,-10.0,35.90843894489024
5,106.39935219298245,93.71381,299.99032,0.0,46.92980946144251
6,116.47047718201755,105.45782,499.96,-32.14804,74.30880740745431
7,91.28684714638158,74.481645,3518.04437,-35.99,130.44824985059645
8,50.19794858552632,42.43,977.72103,-41.55947,66.78827267677852
9,36.88520700657895,35.879760000000005,443.61025,-86.35244,54.33976399507589
10,26.22750421600877,18.515900000000002,468.79059,-575.76835,53.13080232539679
11,23.44460204769737,13.02017,520.89592,-62.02767,51.944333631158464
12,23.138861880482455,14.15,641.0,-523.4355,51.25062447912637
13,31.85310557839912,25.649115000000002,14028.17,-57.189,236.8497103305125
14,62.97169750274123,40.79199,17500.0,-48.0,592.5178447542706
15,61.61852096765351,57.01028,5641.08209,-533.05719,110.7228890863168
16,154.3923159676535,90.558115,17479.97025,-999.98753,779.9569561401349
17,328.0054728289474,158.98,20300.0,-47.56523,1323.5326800455764
18,266.2782970586623,160.53906,17480.00045,-999.99406,912.3445412655603
19,238.4836075877193,140.634735,17480.00045,-9.66061,993.4366067409918
20,198.31524321820174,127.602575,16703.53134,8.71372,898.2178931362291
21,126.42438221765352,111.67024,10031.32264,10.30003,175.20600961079373
22,116.44839460526316,108.08164500000001,1509.99663,0.63764,51.84992916916091
23,106.0388685060307,97.02350000000001,299.99,14.03903,40.23215617330669
